time [s],energy [GeV],flux [cm-2 s-1 GeV-1]
1.0610092271509817,1.0482390980715925,0.0001
1.0610092271509817,1.1493713153802991,8.317637711026709e-05
1.0610092271509817,1.2602605865869103,6.918309709189365e-05
1.0610092271509817,1.3818482546511677,5.7543993733715664e-05
1.0610092271509817,1.5151664816035209,4.7863009232263804e-05
1.0610092271509817,1.6613470106052453,3.9810717055349695e-05
1.0610092271509817,1.8216307733563122,3.3113112148259076e-05
1.0610092271509817,1.9973784244086434,2.7542287033381633e-05
1.0610092271509817,2.1900818918109053,2.290867652767775e-05
1.0610092271509817,2.4013770421386758,1.9054607179632484e-05
1.0610092271509817,2.6330575674238723,1.584893192461114e-05
1.0610092271509817,2.887090211870091,1.3182567385564076e-05
1.0610092271509817,3.1656314676139634,1.0964781961431852e-05
1.0610092271509817,3.4710458812634624,9.120108393559096e-06
1.0610092271509817,3.805926126617994,7.585775750291836e-06
1.0610092271509817,4.173115013968317,6.3095734448019305e-06
1.0610092271509817,4.575729622814023,5.248074602497723e-06
1.0610092271509817,5.017187762862054,4.365158322401657e-06
1.0610092271509817,5.501236987934645,3.630780547701018e-06
1.0610092271509817,6.031986409086748,3.0199517204020193e-06
1.0610092271509817,6.613941576995646,2.511886431509582e-06
1.0610092271509817,7.2520427297406,2.089296130854041e-06
1.0610092271509817,7.951706730659272,1.7378008287493761e-06
1.0610092271509817,8.718873052292903,1.445439770745928e-06
1.0610092271509817,9.560054196779548,1.2022644346174132e-06
1.0610092271509817,10.482390980715925,1.0000000000000002e-06
1.0610092271509817,11.493713153802991,8.31763771102671e-07
1.0610092271509817,12.602605865869105,6.918309709189362e-07
1.0610092271509817,13.818482546511675,5.754399373371565e-07
1.0610092271509817,15.151664816035204,4.786300923226385e-07
1.0610092271509817,16.613470106052446,3.981071705534973e-07
1.0610092271509817,18.216307733563113,3.311311214825911e-07
1.0610092271509817,19.973784244086435,2.754228703338166e-07
1.0610092271509817,21.900818918109067,2.2908676527677727e-07
1.0610092271509817,24.013770421386774,1.9054607179632464e-07
1.0610092271509817,26.330575674238737,1.5848931924611128e-07
1.0610092271509817,28.87090211870091,1.3182567385564074e-07
1.0610092271509817,31.656314676139637,1.0964781961431852e-07
1.0610092271509817,34.71045881263463,9.120108393559096e-08
1.0610092271509817,38.05926126617994,7.585775750291836e-08
1.0610092271509817,41.73115013968317,6.309573444801931e-08
1.0610092271509817,45.75729622814022,5.248074602497723e-08
1.0610092271509817,50.17187762862054,4.365158322401662e-08
1.0610092271509817,55.01236987934648,3.6307805477010135e-08
1.0610092271509817,60.31986409086751,3.019951720402016e-08
1.0610092271509817,66.13941576995649,2.5118864315095798e-08
1.0610092271509817,72.52042729740603,2.0892961308540388e-08
1.0610092271509817,79.51706730659274,1.7378008287493747e-08
1.0610092271509817,87.18873052292903,1.4454397707459282e-08
1.0610092271509817,95.6005419677955,1.2022644346174132e-08
1.0610092271509817,104.82390980715925,1e-08
1.0610092271509817,114.93713153802992,8.31763771102671e-09
1.0610092271509817,126.02605865869103,6.918309709189362e-09
1.0610092271509817,138.18482546511677,5.754399373371568e-09
1.0610092271509817,151.5166481603521,4.786300923226381e-09
1.0610092271509817,166.13470106052452,3.981071705534969e-09
1.0610092271509817,182.16307733563121,3.3113112148259078e-09
1.0610092271509817,199.73784244086434,2.7542287033381634e-09
1.0610092271509817,219.00818918109056,2.290867652767775e-09
1.0610092271509817,240.1377042138676,1.905460717963248e-09
1.0610092271509817,263.3057567423873,1.5848931924611142e-09
1.0610092271509817,288.7090211870091,1.3182567385564072e-09
1.0610092271509817,316.56314676139635,1.0964781961431852e-09
1.0610092271509817,347.10458812634624,9.120108393559097e-10
1.0610092271509817,380.59261266179936,7.585775750291835e-10
1.0610092271509817,417.3115013968317,6.309573444801931e-10
1.0610092271509817,457.5729622814023,5.248074602497723e-10
1.0610092271509817,501.71877628620564,4.3651583224016567e-10
1.0610092271509817,550.1236987934651,3.63078054770101e-10
1.0610092271509817,603.1986409086754,3.0199517204020126e-10
1.0610092271509817,661.3941576995649,2.5118864315095773e-10
1.0610092271509817,725.2042729740599,2.0892961308540407e-10
1.0610092271509817,795.1706730659272,1.7378008287493765e-10
1.0610092271509817,871.8873052292902,1.445439770745928e-10
1.0610092271509817,956.0054196779548,1.2022644346174132e-10
1.0610092271509817,1048.2390980715927,1e-10
1.0610092271509817,1149.3713153802992,8.317637711026709e-11
1.0610092271509817,1260.2605865869104,6.918309709189361e-11
1.0610092271509817,1381.8482546511677,5.754399373371566e-11
1.0610092271509817,1515.1664816035209,4.786300923226381e-11
1.0610092271509817,1661.347010605245,3.98107170553497e-11
1.0610092271509817,1821.6307733563121,3.311311214825908e-11
1.0610092271509817,1997.3784244086446,2.754228703338163e-11
1.0610092271509817,2190.0818918109067,2.29086765276777e-11
1.0610092271509817,2401.377042138676,1.9054607179632485e-11
1.0610092271509817,2633.057567423873,1.584893192461114e-11
1.0610092271509817,2887.0902118700915,1.3182567385564074e-11
1.0610092271509817,3165.6314676139637,1.096478196143185e-11
1.0610092271509817,3471.0458812634624,9.120108393559096e-12
1.0610092271509817,3805.9261266179938,7.585775750291837e-12
1.0610092271509817,4173.115013968318,6.3095734448019305e-12
1.0610092271509817,4575.729622814023,5.248074602497723e-12
1.0610092271509817,5017.187762862057,4.365158322401657e-12
1.0610092271509817,5501.23698793465,3.63078054770101e-12
1.0610092271509817,6031.986409086754,3.0199517204020136e-12
1.0610092271509817,6613.9415769956495,2.5118864315095775e-12
1.0610092271509817,7252.0427297405995,2.0892961308540406e-12
1.0610092271509817,7951.706730659273,1.7378008287493767e-12
1.0610092271509817,8718.873052292904,1.445439770745928e-12
1.0610092271509817,9560.054196779547,1.2022644346174132e-12
1.1904719330480653,1.0482390980715925,8.317637711026709e-05
1.1904719330480653,1.1493713153802991,6.918309709189363e-05
1.1904719330480653,1.2602605865869103,5.754399373371568e-05
1.1904719330480653,1.3818482546511677,4.7863009232263804e-05
1.1904719330480653,1.5151664816035209,3.981071705534969e-05
1.1904719330480653,1.6613470106052453,3.3113112148259076e-05
1.1904719330480653,1.8216307733563122,2.7542287033381636e-05
1.1904719330480653,1.9973784244086434,2.2908676527677698e-05
1.1904719330480653,2.1900818918109053,1.9054607179632484e-05
1.1904719330480653,2.4013770421386758,1.584893192461114e-05
1.1904719330480653,2.6330575674238723,1.3182567385564076e-05
1.1904719330480653,2.887090211870091,1.0964781961431852e-05
1.1904719330480653,3.1656314676139634,9.120108393559096e-06
1.1904719330480653,3.4710458812634624,7.585775750291836e-06
1.1904719330480653,3.805926126617994,6.309573444801929e-06
1.1904719330480653,4.173115013968317,5.248074602497723e-06
1.1904719330480653,4.575729622814023,4.365158322401657e-06
1.1904719330480653,5.017187762862054,3.63078054770101e-06
1.1904719330480653,5.501236987934645,3.0199517204020197e-06
1.1904719330480653,6.031986409086748,2.511886431509582e-06
1.1904719330480653,6.613941576995646,2.0892961308540407e-06
1.1904719330480653,7.2520427297406,1.7378008287493761e-06
1.1904719330480653,7.951706730659272,1.445439770745928e-06
1.1904719330480653,8.718873052292903,1.202264434617413e-06
1.1904719330480653,9.560054196779548,1.0000000000000002e-06
1.1904719330480653,10.482390980715925,8.317637711026708e-07
1.1904719330480653,11.493713153802991,6.918309709189363e-07
1.1904719330480653,12.602605865869105,5.754399373371565e-07
1.1904719330480653,13.818482546511675,4.78630092322638e-07
1.1904719330480653,15.151664816035204,3.981071705534973e-07
1.1904719330480653,16.613470106052446,3.3113112148259106e-07
1.1904719330480653,18.216307733563113,2.7542287033381663e-07
1.1904719330480653,19.973784244086435,2.2908676527677721e-07
1.1904719330480653,21.900818918109067,1.9054607179632464e-07
1.1904719330480653,24.013770421386774,1.5848931924611128e-07
1.1904719330480653,26.330575674238737,1.318256738556406e-07
1.1904719330480653,28.87090211870091,1.0964781961431852e-07
1.1904719330480653,31.656314676139637,9.120108393559098e-08
1.1904719330480653,34.71045881263463,7.585775750291834e-08
1.1904719330480653,38.05926126617994,6.30957344480193e-08
1.1904719330480653,41.73115013968317,5.248074602497723e-08
1.1904719330480653,45.75729622814022,4.365158322401656e-08
1.1904719330480653,50.17187762862054,3.630780547701014e-08
1.1904719330480653,55.01236987934648,3.019951720402016e-08
1.1904719330480653,60.31986409086751,2.5118864315095798e-08
1.1904719330480653,66.13941576995649,2.0892961308540385e-08
1.1904719330480653,72.52042729740603,1.7378008287493747e-08
1.1904719330480653,79.51706730659274,1.4454397707459264e-08
1.1904719330480653,87.18873052292903,1.2022644346174132e-08
1.1904719330480653,95.6005419677955,1e-08
1.1904719330480653,104.82390980715925,8.317637711026707e-09
1.1904719330480653,114.93713153802992,6.9183097091893634e-09
1.1904719330480653,126.02605865869103,5.754399373371565e-09
1.1904719330480653,138.18482546511677,4.786300923226381e-09
1.1904719330480653,151.5166481603521,3.98107170553497e-09
1.1904719330480653,166.13470106052452,3.311311214825907e-09
1.1904719330480653,182.16307733563121,2.7542287033381634e-09
1.1904719330480653,199.73784244086434,2.29086765276777e-09
1.1904719330480653,219.00818918109056,1.905460717963248e-09
1.1904719330480653,240.1377042138676,1.5848931924611142e-09
1.1904719330480653,263.3057567423873,1.3182567385564074e-09
1.1904719330480653,288.7090211870091,1.096478196143185e-09
1.1904719330480653,316.56314676139635,9.120108393559097e-10
1.1904719330480653,347.10458812634624,7.585775750291836e-10
1.1904719330480653,380.59261266179936,6.309573444801929e-10
1.1904719330480653,417.3115013968317,5.248074602497724e-10
1.1904719330480653,457.5729622814023,4.365158322401656e-10
1.1904719330480653,501.71877628620564,3.6307805477010104e-10
1.1904719330480653,550.1236987934651,3.019951720402012e-10
1.1904719330480653,603.1986409086754,2.5118864315095763e-10
1.1904719330480653,661.3941576995649,2.0892961308540368e-10
1.1904719330480653,725.2042729740599,1.737800828749376e-10
1.1904719330480653,795.1706730659272,1.445439770745928e-10
1.1904719330480653,871.8873052292902,1.2022644346174132e-10
1.1904719330480653,956.0054196779548,1e-10
1.1904719330480653,1048.2390980715927,8.317637711026709e-11
1.1904719330480653,1149.3713153802992,6.918309709189363e-11
1.1904719330480653,1260.2605865869104,5.754399373371566e-11
1.1904719330480653,1381.8482546511677,4.78630092322638e-11
1.1904719330480653,1515.1664816035209,3.98107170553497e-11
1.1904719330480653,1661.347010605245,3.311311214825908e-11
1.1904719330480653,1821.6307733563121,2.7542287033381634e-11
1.1904719330480653,1997.3784244086446,2.29086765276777e-11
1.1904719330480653,2190.0818918109067,1.9054607179632443e-11
1.1904719330480653,2401.377042138676,1.5848931924611143e-11
1.1904719330480653,2633.057567423873,1.3182567385564074e-11
1.1904719330480653,2887.0902118700915,1.0964781961431849e-11
1.1904719330480653,3165.6314676139637,9.120108393559096e-12
1.1904719330480653,3471.0458812634624,7.585775750291836e-12
1.1904719330480653,3805.9261266179938,6.30957344480193e-12
1.1904719330480653,4173.115013968318,5.248074602497723e-12
1.1904719330480653,4575.729622814023,4.365158322401657e-12
1.1904719330480653,5017.187762862057,3.630780547701011e-12
1.1904719330480653,5501.23698793465,3.0199517204020132e-12
1.1904719330480653,6031.986409086754,2.5118864315095775e-12
1.1904719330480653,6613.9415769956495,2.089296130854037e-12
1.1904719330480653,7252.0427297405995,1.7378008287493763e-12
1.1904719330480653,7951.706730659273,1.445439770745928e-12
1.1904719330480653,8718.873052292904,1.202264434617413e-12
1.1904719330480653,9560.054196779547,1e-12
1.3357314782084608,1.0482390980715925,6.918309709189363e-05
1.3357314782084608,1.1493713153802991,5.7543993733715664e-05
1.3357314782084608,1.2602605865869103,4.786300923226382e-05
1.3357314782084608,1.3818482546511677,3.981071705534969e-05
